FACTION_PROGRESS_DESC;$WHO$ controls §Y$PERCENT$%§W of the victory points. (Currently $OUR$ out of $TOTAL$).;$WHO$ contrôle §Y$PERCENT$%§W des points de victoire. (Actuellement $OUR$ du $TOTAL$).;$WHO$ kontrolliert §Y$PERCENT$%§W der Siegespunkte. (Momentan $OUR$ von $TOTAL$).;;$WHO$ controla el §Y$PERCENT$%§W de los puntos de victoria. (Actualmente $OUR$ de $TOTAL$).;;;;;;;;;x
CW_WARNALLIES;They are allied with $COUNTRY$.;Ils sont alliés avec $COUNTRY$.;Sie sind alliiert mit $COUNTRY$.;;Se han aliado con $COUNTRY$.;;;;;;;;;x
CW_WARNGUARANTEED;They are guaranteed by $COUNTRY$.;$COUNTRY$ se porte garant pour eux.;Sie haben eine Garantie von $COUNTRY$.;;Están garantizados por $COUNTRY$.;;;;;;;;;x
CW_WARNWARN;We have been warned by $COUNTRY$, so they may intervene.;Nous avons été avertis par $COUNTRY$ ils peuvent donc intervenir.;Wir wurden von $COUNTRY$ gewarnt, also können sie intervenieren.;;Hemos sido advertidos por $COUNTRY$ de que pueden intervenir.;;;;;;;;;x,,,,,,,,,,,,,
CW_WARNALLIES2;$ENEMY$ is allied with $COUNTRY$.;$ENEMY$ est allié avec $COUNTRY$.;$ENEMY$ ist verbündet mit $COUNTRY$.;;$ENEMY$ se ha aliado con $COUNTRY$.;;;;;;;;;x
CW_WARNGUARANTEED2;$ENEMY$ is guaranteed by $COUNTRY$.;$COUNTRY$ se porte garant pour $ENEMY$.;$ENEMY$ ist besitzt eine Garantie von $COUNTRY$.;;$ENEMY$ está garantizado por $COUNTRY$.;;;;;;;;;x
CW_WARNWARN2;$FRIEND$ has been warned by $COUNTRY$, so they may intervene.;$FRIEND$ a été averti par $COUNTRY$, ils peuvent donc intervenir.;$FRIEND$ wurde gewarnt von $COUNTRY$, also könnten sie intervenieren.;;$FRIEND$ ha sido advertido por $COUNTRY$ de que pueden intervenir.;;;;;;;;;x,,,,,,,,,,,,,,
CW_WARNOVERLORD2;$ENEMY$ is a puppet of $COUNTRY$, who will protect them.;$ENEMY$ est un état fantoche de $COUNTRY$ qui les protégera.;$ENEMY$ ist eine Marionette von $COUNTRY$, das sie schützen wird.;;$ENEMY$ es un títere de $COUNTRY$ que los protegerá.;;;;;;;;;x,,,,,,,,,,,,,,,
PW_I_DO;I do;Oui;Ja.;Tak;Yo sí;Sì.;Rendben.;Já ano.;;;;;;x
PW_RUN_AWAY;Rather not;Plutôt pas !;Lieber nicht;Nie;Más bien no;Scappa!;Inkább nem!;Radìji ne;;;;;;x
INDEPENDANT;Independent Nation;Nation indépendante;Unabhängiges Land;Niezale¿ne pañstwo;Nación independiente;Nazione indipendente;Független állam;Nezávislý národ;;;;;;x
VASSAL_SUBJECT;Puppet of $LORD$;Fantoche de $LORD$;Marionette von $LORD$;;Títere de $LORD$;;;;;;;;;x
axis;Axis;Axe;Achse;;El Eje;;;;;;;;;x
allies;Allies;Alliés;Alliierte;;Aliados;;;;;;;;;x
comintern;Comintern;Komintern;Komintern;;Comintern;;;;;;;;;x
suseptibility_axis;Susceptibility to Axis;Propension à rejoindre l'Axe;Neigung zu Achsenmächten;;Susceptibilidad hacia el Eje;;;;;;;;;x
suseptibility_allies;Susceptibility to Allies;Propension à rejoindre les Alliés;Neigung zu Alliierten;;Susceptibilidad hacia los Aliados;;;;;;;;;x
suseptibility_comintern;Susceptibility to Comintern;Propension à rejoindre le Komintern;Neigung zu Komintern;;Susceptibilidad hacia el Comintern;;;;;;;;;x
FACTION_MEMBER_OF;$NAME$ is a $FACTION$ member.;$NAME$ est un membre de $FACTION$.;$NAME$ ist $FACTION$-Mitglied.;;$NAME$ es un miembro de $FACTION$.;;;;;;;;;x
DIP_ALIGNED_DRIFT;$NAME$ is a $FACTION$ member and will not drift.;$NAME$ est un membre de $FACTION$ et ne déviera pas.;$NAME$ ist $FACTION$-Mitglied und wird nicht driften.;;$NAME$ es un miembro de $FACTION$ y no se distanciará.;;;;;;;;;x
NO_DRIFT;$NAME$ is not drifting towards any faction.;$NAME$ ne dérive vers aucune faction.;$NAME$ driftet nicht in Richtung einer Fraktion.;;$NAME$ no se inclina por ninguna facción.;;;;;;;;;x
FACTION_DRIFT_INSTANT;$NAME$ is drifting §Y$VAL$§W towards $FACTION$;$NAME$ dérive de §Y$VAL$§W vers $FACTION$;$NAME$ driftet §Y$VAL$§W Richtung $FACTION$;;$NAME$ se inclina §Y$VAL$§W por $FACTION$.;;;;;;;;;x
FACTION_DRIFT_RELATIONS;§Y$VAL$§W due to relations with faction members;§Y$VAL$§W à cause des relations avec les membres de la faction.;§Y$VAL$§W aufgrund von Beziehungen mit Fraktionsmitgliedern;;§Y$VAL$§W debido a las relaciones con los miembros de la facción.;;;;;;;;;x
FACTION_DRIFT_PROXIMITY;§Y$VAL$§W due to proximity to faction members.;§Y$VAL$§W à cause de la proximité des membres de la faction.;§Y$VAL$§W aufgrund der Nähe zu Fraktionsmitgliedern.;;§Y$VAL$§W debido a la proximidad de los miembros de la facción.;;;;;;;;;x
FACTION_DRIFT_REVANCH;§R-$VAL$§W due to revanchism. (Factionmembers have claims on their territory.);§R-$VAL$§W à cause du revanchisme. (Les membres de la faction ont des revendications sur leurs territoires.);§R-$VAL$§W aufgrund von Revanchismus. (Fraktionsmitglieder erheben Ansprüche auf ihr eigenes Gebiet.);;§R-$VAL$§W debido al revanchismo. (Los miembros de la facción reivindican su territorio).;;;;;;;;;x
FACTION_DRIFT_THREAT;§R-$VAL$§W due to the threat they pose.;§R-$VAL$§W à cause de la menace qu'ils représentent.;§R-$VAL$§W aufgrund der Bedrohung, die sie darstellen.;;§R-$VAL$§W por la amenaza que representan.;;;;;;;;;x
FACTION_DRIFT_REPULSION;§R-$VAL$§W due to how closely aligned they already are.;§R-$VAL$§W parce qu'ils sont déjà très étroitement alignés.;§R-$VAL$§W aufgrund der schon sehr engen gegenseitigen Ausrichtung.;;§R-$VAL$§W debido a lo cercanos que están alineados.;;;;;;;;;x
FACTION_DRIFT_IDEOLOGY;§Y$VAL$§W due to ideological similarity.;§Y$VAL$§W à cause d'une ressemblance idéologique.;§Y$VAL$§W aufgrund ideologischer Gemeinsamkeiten.;;§Y$VAL$§W debido a su similitud ideológica.;;;;;;;;;x
FACTION_DRIFT_INFLUENCE;§Y$VAL$§W due to diplomatic influence of faction members.;§Y$VAL$§W à cause de l'influence diplomatique des membres de la faction.;§Y$VAL$§W aufgrund von diplomatischem Einfluss von Fraktionsmitgliedern.;;§Y$VAL$§W debido a la influencia diplomática de los miembros de la facción.;;;;;;;;;x
DIP_CURRENT_RELATION;Current relations:;Relations actuelles :;Momentane Beziehungen:;;Relaciones actuales:;;;;;;;;;x
FACTION_DRIFT_TOP_INSTANT;$NAME$ is mostly drifting towards §G$FACTION$§W with a value of §Y$VAL$§W;$NAME$ dérive surtout vers §G$FACTION$§W avec une valeur de §Y$VAL$§W;$NAME$ driftet hauptsächlich Richtung §G$FACTION$§W mit einem Wert von §Y$VAL$§W;;$NAME$ se inclina más por §G$FACTION$§W con un valor de §Y$VAL$§W;;;;;;;;;x
DIP_THREAT_US;Our threat to them:;Notre menace envers eux :;Unsere Bedrohung für sie:;;Nuestra amenaza sobre ellos:;;;;;;;;;x
DIP_THREAT_THEM;Their threat to us:;Leur menace envers nous :;Ihre Bedrohung für uns:;;Su amenaza sobre nosotros:;;;;;;;;;x
DIP_PARTY;Ruling party:;Parti au pouvoir :;Regierungspartei:;;Partido gobernante:;;;;;;;;;x
DIP_SELF;Selected;Sélectionné;Aktiv;;Elegido;;;;;;;;;x
DIP_UNALIGNED;Unaligned;Non-aligné;Neutrale;;No alineado;;;;;;;;;x
DIP_NEIGHBOURS;Neighbours;Voisins;Nachbarn;;Vecinos;;;;;;;;;x
DIP_MAJORS;Majors;Principaux;Großmacht;;Principales;;;;;;;;;x
DIP_ALL;All;Tous;Alle;;Todos;;;;;;;;;x
DIP_NEUTRALITY;Their Neutrality:;Leur neutralité :;Ihre Neutralität:;;Su neutralidad:;;;;;;;;;x
DIP_OUR_NEUTRALITY;Our Neutrality:;Notre neutralité :;Unsere Neutralität:;;Nuestra neutralidad:;;;;;;;;;x
DIP_THREAT_TITLE;Threat;Menace;Bedrohung;;Amenaza;;;;;;;;;x
DIP_NAME_TITLE;Name;Nom;Name;;Nombre;;;;;;;;;x
DIP_NO_SURPLUS;$NAME$ is in deficit of §Y$VAL$§W $RES$ each day.;$NAME$ est déficitaire de §Y$VAL$§W $RES$ par jour.;$NAME$ hat ein tägliches Defizit von §Y$VAL$§W $RES$.;;$NAME$ tiene un déficit de §Y$VAL$§W $RES$ cada día.;;;;;;;;;x
DIP_SURPLUS;$NAME$ is producing a surplus of §Y$VAL$§W $RES$ each day.;$NAME$ produit un surplus de §Y$VAL$§W $RES$ par jour.;$NAME$ produziert einen täglichen Überschuss von §Y$VAL$§W $RES$.;;$NAME$ está produciendo un excedente de §Y$VAL$§W $RES$ cada día.;;;;;;;;;x
DIPRELCH_WAR;War;Guerre;Krieg;;Guerra;;;;;;;;;x
DIPRELCH_NBOR_PEACE;Neighbours at Peace;Voisins en paix;Nachbarn im Frieden;;Vecinos en paz;;;;;;;;;x
DIPRELCH_GUARANTEE;Guarantees;Garanties;Garantien;;Garantías;;;;;;;;;x
DIPRELCH_TRADEAGREEMENT;Trade Agreement;Accord commercial;Handelsabkommen;;Acuerdo comercial;;;;;;;;;x
DIPRELCH_HASACCESS;Transit Rights;Droits de transit;Durchmarscherlaubnis;;Derechos de tránsito;;;;;;;;;x
NO_WAR_NAP;We have a non-aggression pact.;Nous avons signé un pacte de non-agression.;Wir haben einen Nichtangriffspakt.;;Tenemos un pacto de no agresión.;;;;;;;;;x
DIPRELCH_EMBARGO;Trade Embargo;Embargo commercial;Handelembargo;;embargo comercial;;;;;;;;;x
DIPRELCH_DIP_SKILL;Diplomatic Skill;Habileté diplomatique;Diplomatische Fähigkeit;;Habilidad diplomática;;;;;;;;;x
DIPRELCH_INFLUENCE;Diplomatic Influence;Influence diplomatique;Diplomatischer Einfluss;;Influencia Diplomática;;;;;;;;;x
TRUCEWITH;Truce with $LIST$.;Trêve avec $LIST$;Waffenruhe mit $LIST$.;Rozejm z $LIST$.;Tregua con $LIST$.;Tregua con: $LIST$.;Fegyverszünet: $LIST$.;Pøímìøí s $LIST$.;;;;;;x
ATWARWITH;At war with $LIST$.;En guerre contre $LIST$.;Im Krieg mit $LIST$.;W stanie wojny z $LIST$.;En guerra con $LIST$.;In guerra con: $LIST$.;Háborúban: $LIST$.;Ve válce s $LIST$.;;;;;;x
ALLIEDWITH;Allied with $LIST$.;Allié à $LIST$.;Verbündet mit $LIST$.;Sojusz z $LIST$.;Aliado con $LIST$.;Alleato con: $LIST$.;Szövetségesei: $LIST$.;V alianci s $LIST$.;;;;;;x
LEADUNIONS;Lead Personal Union with $LIST$.;Mène une union personnelle avec $LIST$.;Führt Personalunionen mit $LIST$ an.;Jest stron¹ dominuj¹c¹ w unii personalnej z $LIST$.;Lidera la unión personal con $LIST$.;Guida unioni personali con: $LIST$.;Perszonáluniót vezet: $LIST$.;Je ve spojenectví s $LIST$ a má hlavní slovo.;;;;;;x
INUNION;In Personal Union with $LIST$.;En union personnelle avec $LIST$.;In Personalunion mit $LIST$.;W unii personalnej z $LIST$.;En unión personal con $LIST$.;In unione personale con: $LIST$.;Perszonálunió tagja: $LIST$.;Je ve spojenectví s $LIST$.;;;;;;x
ROYALMARRIAGE;Royal Marriage with $LIST$.;Mariage royal avec $LIST$.;Staatsehe mit $LIST$.;Królewski maria¿ z $LIST$.;Matrimonio real con $LIST$.;Matrimonio reale con: $LIST$.;Királyi házasságban: $LIST$.;Královský sòatek s $LIST$.;;;;;;x
LEADVASSAL;Has the following puppets: $LIST$.;Possède les fantoches suivants : $LIST$.;Hat die folgenden Marionetten: $LIST$.;;Tiene los títeres siguientes: $LIST$.;;;;;;;;;x
AMVASSAL;Is a puppet of $LIST$.;Est un fantoche de $LIST$.;Ist eine Marionette von $LIST$.;;Es un títere de $LIST$.;;;;;;;;;x
HASCBON;Has claims on $LIST$.;Revendique $LIST$.;Hat Ansprüche auf $LIST$.;;Tiene pretensiones en $LIST$.;;;;;;;;;x
GUARANTEED;Independence guaranteed by $LIST$.;Indépendance garantie par $LIST$.;Unabhängigkeit garantiert von $LIST$.;Niepodleg³oœæ gwarantowana przez $LIST$.;Independencia garantizada por $LIST$.;Indipendenza garantita da: $LIST$.;A függetlenségét garantálja: $LIST$.;Má nezávislost garantovánu $LIST$.;;;;;;x
GUARANTING;Guaranteeing the Independence of $LIST$.;Garantit l'indépendance de $LIST$.;Garantiert die Unabhängigkeit von $LIST$.;Gwarantuje niepodleg³oœæ $LIST$.;Garantiza la independencia de $LIST$.;Sta garantendo l'indipendenza di: $LIST$.;Garantálja a következõ függetlenségét: $LIST$.;Garantuje nezávislost $LIST$.;;;;;;x
WARNED;Warned by $LIST$.;Averti par $LIST$.;Gewarnt durch $LIST$.;Ostrze¿eni przez $LIST$.;Advertido por $LIST$.;Ammonito da: $LIST$.;Figyelmeztette: $LIST$.;Varován $LIST$.;;;;;;x
WARNING;Warning $LIST$.;Avertissement $LIST$.;Warnt $LIST$.;Ostrzega $LIST$.;Advertencia $LIST$.;Sta avvertendo: $LIST$.;$LIST$ figyelmeztetése.;Varuje $LIST$.;;;;;;x
PAYSUB;Is subsidising $LIST$.;Subventionne $LIST$.;Subventioniert $LIST$.;Przekazuje subsydia $LIST$.;Está subvencionando $LIST$.;Sta sovvenzionando: $LIST$.;Támogatja a következõt: $LIST$.;Subvencuje $LIST$.;;;;;;x
GETSUB;Gets subsidies from $LIST$.;Est subventionné par $LIST$.;Wird von $LIST$ subventioniert.;Otrzymuje subsydia od $LIST$.;Obtiene subsidios de $LIST$.;Ottiene sovvenzioni da: $LIST$.;Õt támogatja: $LIST$.;Je subvencován $LIST$.;;;;;;x
INFLUENCEFROM;Influenced by $LIST$;Influencé par $LIST$;Beeinflusst von $LIST$;;Influido por $LIST$;;;;;;;;;x
NAPWITH;Non-Aggression Pact with $LIST$;Pacte de non-agression avec $LIST$;Nichtangriffspakt mit $LIST$;;Pacto de no agresión con $LIST$;;;;;;;;;x
ALIGNINGTOWARDS;Aligning towards $LIST$;S'aligne sur $LIST$;Ausrichtung an $LIST$;;Se alinea con $LIST$;;;;;;;;;x
CDIP_EMBARGO;Embargoed by $LIST$;Placé sous embargo par $LIST$;Embargo durch $LIST$;;Sufre el embargo de $LIST$;;;;;;;;;x
SURRENDER_TITLE;Surrender Progress: §Y$VAL$%§W;Progrès vers la capitulation : §Y$VAL$%§W;Kapitulationsfortschritt: §Y$VAL$%§W;;Progreso de la rendición: §Y$VAL$%§W;;;;;;;;;x
SURRENDER_DETAILS;We have §Y$OCCUPATION$%§W of our important cities occupied, and are currently at a national unity of §Y$UNITY$%§W. If the occupation is higher than the national unity then we will surrender.;Nous avons §Y$OCCUPATION$%§W de nos villes importantes qui sont occupées et dont le taux d'unité nationale est de  §Y$UNITY$%§W. Si l'occupation est plus importante que l'unité nationale, alors nous capitulerons.;Momentan sind §Y$OCCUPATION$%§W unserer wichtigen Städte besetzt, und unser nationaler Zusammenhalt steht bei §Y$UNITY$%§W. Wenn der Besatzungswert den des nationalen Zusammenhalts überschreitet, kapitulieren wir.;;Tenemos el §Y$OCCUPATION$%§W de nuestras ciudades importantes ocupadas, y actualmente hay una unidad nacional de §Y$UNITY$%§W. Si la ocupación es mayor que la unidad nacional, nos rendiremos.;;;;;;;;;x,,,,,,,,,,,,,,,
WE_ARE_GOV_EXILE;We are a government in exile and cannot surrender again.;Nous sommes un gouvernement en exil et ne pouvons pas capituler une seconde fois.;Wir sind eine Exilregierung und können nicht erneut kapitulieren.;;Somos un Gobierno en el exilio y no podemos rendirnos otra vez.;;;;;;;;;x
# Actions;;;;;;;;;;;;;;x
ENROUTE;We have a diplomat enroute, and he will arrive on $DATE$;Nous avons un diplomate en route. Il arrivera le $DATE$.;Einer unserer Diplomaten ist unterwegs;Dyplomata w drodze. Przybêdzie $DATE$;Hemos enviado un diplomático que llegará en $DATE$;Un nostro diplomatico è in viaggio, arriverà il $DATE$;Az egyik diplomatánk uton van, és visszatérésének várható ideje: $DATE$;Diplomat je na cestì, dorazí $DATE$;;;;;;x,,,,,,,,,,,
ACT_NO_SELF;You cannot negotiate with yourself.;Vous ne pouvez pas négocier avec vous-même.;Sie können nicht mit sich selbst verhandeln;;No puedes negociar contigo mismo.;;;;;;;;;x
NO_WAR_ALLIED;You may not declare war upon a country with which you have an Alliance. Break the Alliance first.;Vous ne pouvez pas déclarer la guerre à un pays avec lequel vous êtes allié. Rompez d'abord l'alliance.;Sie können keinem Land den Krieg erklären, mit dem Sie ein Bündnis haben. Brechen Sie zuerst das Bündnis.;Nie mo¿esz wypowiedzieæ wojny pañstwu, z którym masz podpisany sojusz. Najpierw wyjdŸ z sojuszu.;No puedes declarar la guerra a un país con el que estás aliado. Primero has de romper la alianza.;Non puoi dichiarare guerra a una nazione con cui sei alleato. Devi prima annullare l'alleanza.;Nem indíthatsz olyan ország ellen háborút, amellyel szövetségben állsz. Elõször szakítsd meg a szövetséget.;Nemùžete vyhlásit válku zemi, která je vaším spojencem. Nejprve musíte zrušit alianci.;;;;;;x,,,,,,,,,,,
ACT_WARDESC;Declaring war will allow our troops to attack theirs and allow us to enter their country. War will continue until either party surrenders.;Une déclaration de guerre permettra à nos troupes d'attaquer les leurs et d'entrer dans leur pays. La guerre se poursuivra jusqu'à la capitulation d'une des parties.;Eine Kriegserklärung erlaubt unseren Truppen den Einmarsch in ihr Gebiet und den Angriff auf ihre Truppen. Der Krieg hält so lange an, bis eine der beiden Kombattanten kapituliert.;;Declarar la guerra permitirá que nuestras tropas ataquen las suyas y podremos invadir su país. La guerra continuará hasta que uno de los bandos se rinda.;;;;;;;;;x
LIM_WARDESC;Limited war will not call our faction in on our side, although you can do this later.;Une guerre limitée ne fera pas pencher notre faction de notre côté, même si vous pouvez le faire plus tard.;Eine eingeschränkte Kriegserklärung ruft nicht Ihre Fraktion zur Hilfe, obwohl dies später noch möglich ist.;;La guerra limitada no pondrá a nuestra facción de nuestro lado, aunque puedes hacerlo más adelante.;;;;;;;;;x,,,,,,,,,,,,,,,
DECWARREQDESC2;Declare war on $COUNTRY$.;Déclarer la guerre à $COUNTRY$.;Erklärt $COUNTRY$ den Krieg.;;Declarar la guerra a $COUNTRY$.;;;;;;;;;x
DIP_INFLUENCECOST;This will cost us §Y$COST$§W diplomatic influence points.;Cela nous coûtera §Y$COST$§W points d'influence diplomatique.;Dies kostet uns §Y$COST$§W diplomatische Einflusspunkte.;;Esto nos costará §Y$COST$§W puntos de influencia diplomática.;;;;;;;x;;x
DIP_THREAT;This will generate §Y$AMOUNT$§W threat in §Y$PROV$§W;Cela générera §Y$AMOUNT$§W de menace sur §Y$PROV$§W;Dies erzeugt §Y$AMOUNT$§W Bedrohung in §Y$PROV$§W;;Esto generará §Y$AMOUNT$§W de amenaza en §Y$PROV$§W;;;;;;;x;;x
DIP_NO_INFL;You do not have the §Y$INF$§W diplomatic influence required;Vous n'avez pas les §Y$INF$§W d'influence diplomatique requis;Sie haben nicht den erforderlichen §Y$INF$§W diplomatischen Einfluss;;No tienes la §Y$INF$§W influencia diplomática requerida;;;;;;;x;;x
DIP_WAR_NEUTR;We cannot declare war because our neutrality is higher than the present threat. Our neutrality is currently §Y$NEUT$§W and the effective threat between us and $THEM$ allows us to declare war when our neutrality is at §Y$THREAT$§W.;Nous ne pouvons pas déclarer la guerre parce que notre neutralité est plus élevée que la menace actuelle. Notre neutralité est actuellement de §Y$NEUT$§W et la menace effective entre nous et $THEM$ nous permet de déclarer la guerre lorsque notre neutralit;Wir können nicht den Krieg erklären,  da unsere Neutralität höher als die momentane Bedrohung ist. Unsere Neutralität ist momentan bei §Y$NEUT$§W, und die effektive Bedrohung zwischen uns und $THEM$ läßt uns den Krieg nur erklären, wenn unsere Neutralität bei §Y$THREAT$§W steht.;;No podemos declarar la guerra porque nuestra neutralidad es mayor que la amenaza actual. Nuestra neutralidad es actualmente §Y$NEUT$§W y la amenaza efectiva entre nosotros y $THEM$ nos permite declarar la guerra cuando nuestra neutralidad esté en §Y$THREAT$§W.;;;;;;;;;x
DIP_TO_NEUTR;Our neutrality is too high. It is currently §Y$NOW$§W and needs to be below §Y$LIM$§W.;Notre neutralité est trop élevée. Elle est actuellement de §Y$NOW$§W et doit être abaissée à §Y$LIM$§W.;Unsere Neutralität ist zu hoch. Sie liegt momentan bei §Y$NOW$§W, muss aber unter §Y$LIM$§W fallen.;;Nuestra neutralidad es demasiado alta. Actualmente es de §Y$NOW$§W y necesita estar por debajo de §Y$LIM$§W.;;;;;;;;;x
DIP_THEY_TO_NEUTR;Their neutrality is too high. It is currently §Y$NOW$§W and needs to be below §Y$LIM$§W.;Leur neutralité est trop élevée. Elle est actuellement de §Y$NOW$§W et doit être abaissée à §Y$LIM$§W.;Ihre Neutralität ist zu hoch. Sie liegt momentan bei §Y$NOW$§W, muss aber unter §Y$LIM$§W fallen.;;Su neutralidad es demasiado alta. Actualmente es de §Y$NOW$§W y necesita estar por debajo de §Y$LIM$§W.;;;;;;;;;x
OFFERALLIANCEDESC;If a country accepts our Alliance offer, it may come to our assistance during wars.;Si un pays accepte notre offre d'alliance, il pourra nous venir en aide en cas de guerre.;Wenn ein Land unser Bündnisangebot akzeptiert, könnte es uns bei unseren Kriegen Beistand leisten.;Jeœli pañstwo przyjmie nasz¹ propozycjê sojuszu, mo¿e nam pomagaæ w wypadku wojny. ;Si un país acepta nuestra oferta de alianza puede acudir en nuestra ayuda durante la guerra.;Se un paese accetta la nostra proposta di alleanza, ci assisterebbe in caso di guerra.;Ha egy ország elfogadja a szövetségi ajánlatunkat, akkor háború esetén a segítségünkre fog sietni.;Pokud zemì akceptuje naši nabídku na spojenectví, bude nám pomáhat v èasech války.;;;;;;x,,,,,,,,
CANCELALLIANCEDESC;Dissolving the current Alliance will, of course, end the current Alliance you have with this country, and will adversely affect relations.;Dissoudre cette alliance va, bien entendu, mettre un terme à l'alliance que nous avons avec ce pays et affecter de manière négative nos relations avec lui.;Die Auflösung des momentanen Bündnisses wird natürlich Ihr momentanes Bündnis mit diesem Land brechen. Dies wird die Beziehungen auch verschlechtern.;Rozwi¹zanie obowi¹zuj¹cego sojuszu oczywiœcie zakoñczy go i pogorszy wzajemne stosunki dyplomatyczne.;La disolución de la alianza actual acabará, por supuesto, con la alianza que tienes actualmente con este país y afectará negativamente a las relaciones.;Sciogliere l'alleanza attuale ovviamente porrà fine all'alleanza che hai con questa nazione e avrà effetti negativi sui vostri rapporti.;Ha felbontjuk a jelenlegi szövetséget, akkor meg fog szûnni ezzel az országgal fennálló szövetségi viszonyunk, és még az is lehet, hogy ezzel egymás ellenségeivé válunk.;Pokud zrušíte aktuální alianci, skonèí spojenectví s touto zemí a naše vzájemné vztahy se zhorší.;;;;;;x,,,,,
ALLIANCETITLE;Offer Alliance;Offrir une alliance;Bündnis anbieten;Zaproponuj sojusz;Ofrecer alianza;Offrire alleanza;Szövetség felajánlása;Nabídnout alianci;;;;;;x
CANCELALIANCETITLE;Dissolve this Alliance;Dissoudre cette alliance;Dieses Bündnis auflösen;Rozwi¹¿ sojusz;Disolver esta alianza;Sciogliere questa alleanza;Szövetség feloldása;Zrušit alianci;;;;;;x
